Source,Device Category,Hour Index,User Type,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue
google,mobile,000135,New Visitor,748,35.03%,5.07,00:04:10,7,$297.74
google,mobile,000140,New Visitor,523,34.99%,5.46,00:03:57,4,$159.28
google,mobile,000139,New Visitor,457,40.04%,4.68,00:03:32,4,$266.91
google,mobile,000138,New Visitor,456,37.06%,4.42,00:03:50,2,$67.79
google,mobile,000141,New Visitor,446,35.65%,5.60,00:03:47,2,$62.85
google,mobile,000134,New Visitor,441,44.90%,4.34,00:02:46,2,$136.35
google,mobile,000163,New Visitor,434,32.03%,5.08,00:03:55,4,$93.28
google,mobile,000164,New Visitor,424,29.95%,5.75,00:04:15,0,$0.00
google,mobile,000131,New Visitor,414,41.79%,4.22,00:03:24,3,$106.93
google,mobile,000133,New Visitor,407,40.54%,4.58,00:03:41,2,$92.93
google,mobile,000091,New Visitor,391,37.85%,5.14,00:03:43,1,$99.99
google,mobile,000162,New Visitor,389,31.11%,5.39,00:04:24,6,$364.10
google,mobile,000137,New Visitor,381,38.85%,4.51,00:03:27,2,$122.95
google,mobile,000086,New Visitor,379,34.83%,4.92,00:04:43,4,$204.61
google,mobile,000165,New Visitor,377,32.89%,5.50,00:03:22,2,$79.95
google,mobile,000161,New Visitor,372,34.95%,5.51,00:04:04,5,$384.87
google,mobile,000018,New Visitor,365,35.34%,5.13,00:03:20,6,$278.24
google,mobile,000127,New Visitor,364,31.32%,4.82,00:03:46,3,$280.20
google,mobile,000128,New Visitor,364,35.16%,4.98,00:03:38,0,$0.00
google,mobile,000132,New Visitor,364,42.86%,4.24,00:03:10,2,$62.95
google,mobile,000089,New Visitor,358,34.64%,5.21,00:04:02,3,$124.94
google,mobile,000017,New Visitor,356,32.87%,4.86,00:04:14,1,$32.96
google,mobile,000085,New Visitor,356,38.20%,4.08,00:03:39,1,$22.98
google,mobile,000130,New Visitor,346,43.64%,4.28,00:03:24,4,$201.66
google,mobile,000108,New Visitor,337,38.28%,4.33,00:03:37,3,$298.91
google,mobile,000158,New Visitor,336,33.33%,5.62,00:04:23,5,$380.55
google,mobile,000019,New Visitor,330,36.67%,4.88,00:03:14,0,$0.00
google,mobile,000044,New Visitor,330,32.73%,5.03,00:03:38,3,$155.41
google,mobile,000142,New Visitor,324,29.94%,6.06,00:04:33,3,$267.91
google,mobile,000088,New Visitor,322,36.02%,4.56,00:03:38,4,$212.32
google,mobile,000043,New Visitor,320,33.44%,4.48,00:03:27,2,$129.94
google,mobile,000092,New Visitor,319,32.60%,5.00,00:03:30,3,$169.30
google,mobile,000114,New Visitor,317,29.65%,5.47,00:04:25,4,$294.90
google,mobile,000157,New Visitor,316,33.23%,5.20,00:04:52,3,$85.91
google,mobile,000014,New Visitor,312,31.73%,5.12,00:03:16,3,$139.94
google,mobile,000113,New Visitor,312,36.86%,5.00,00:03:52,5,$257.27
google,mobile,000015,New Visitor,311,35.37%,5.33,00:04:46,2,$76.96
google,mobile,000115,New Visitor,310,35.16%,4.95,00:03:23,0,$0.00
google,mobile,000090,New Visitor,309,34.63%,4.44,00:03:11,1,$38.96
google,mobile,000107,New Visitor,308,37.34%,4.33,00:02:39,4,$174.12
