Hour,Device Category,Day of the month,City,Month of the year,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue
18,mobile,24,Charlotte,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,24,Norwich,10,2,0.00%,3.50,00:01:14,0,$0.00
18,mobile,24,Oklahoma City,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,24,Philadelphia,10,2,50.00%,3.50,00:02:38,0,$0.00
18,mobile,24,Charleston,10,2,0.00%,5.50,00:03:37,0,$0.00
18,mobile,24,Dallas,10,2,50.00%,1.00,00:05:28,0,$0.00
18,mobile,24,San Antonio,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,24,Blacksburg,10,2,0.00%,12.50,00:13:22,0,$0.00
18,mobile,24,Seattle,10,2,50.00%,2.50,00:01:42,0,$0.00
18,mobile,25,Ottawa,10,2,0.00%,3.00,00:06:32,0,$0.00
18,mobile,25,San Francisco,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,25,Honolulu,10,2,50.00%,2.00,00:00:08,0,$0.00
18,mobile,25,Louisville,10,2,50.00%,1.50,00:00:07,0,$0.00
18,mobile,25,Detroit,10,2,50.00%,2.00,00:00:31,0,$0.00
18,mobile,25,Charlotte,10,2,50.00%,1.50,00:01:15,0,$0.00
18,mobile,25,Buffalo,10,2,50.00%,2.50,00:00:34,0,$0.00
18,mobile,25,Centereach,10,2,0.00%,15.50,00:11:54,0,$0.00
18,mobile,25,Oklahoma City,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,25,San Antonio,10,2,50.00%,8.50,00:07:18,0,$0.00
18,mobile,25,Weatherford,10,2,50.00%,2.00,00:00:54,0,$0.00
18,mobile,25,Salt Lake City,10,2,0.00%,2.00,00:00:57,0,$0.00
18,mobile,25,Poquoson,10,2,50.00%,1.50,00:01:58,0,$0.00
18,mobile,25,Virginia Beach,10,2,50.00%,3.50,00:00:25,0,$0.00
18,mobile,25,Madison,10,2,0.00%,6.00,00:03:57,0,$0.00
18,mobile,25,Washington Township,10,2,50.00%,1.00,00:10:54,0,$0.00
18,mobile,26,Calgary,10,2,50.00%,7.50,00:07:42,0,$0.00
18,mobile,26,Vancouver,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,26,Cairo,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,26,Oswego,10,2,50.00%,1.50,00:00:55,0,$0.00
18,mobile,26,Indianapolis,10,2,50.00%,3.00,00:00:21,0,$0.00
18,mobile,26,Bowling Green,10,2,50.00%,5.00,00:01:26,0,$0.00
18,mobile,26,Kansas City,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,26,Greensboro,10,2,50.00%,1.50,00:00:00,0,$0.00
18,mobile,26,Dover,10,2,0.00%,3.00,00:05:50,0,$0.00
18,mobile,26,Bloomfield,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,26,Cherry Hill,10,2,50.00%,3.00,00:01:01,0,$0.00
18,mobile,26,Nashville,10,2,50.00%,8.50,00:06:09,0,$0.00
18,mobile,26,Austin,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,26,Schertz,10,2,0.00%,6.50,00:05:36,0,$0.00
18,mobile,26,Virginia Beach,10,2,50.00%,3.50,00:18:02,0,$0.00
18,mobile,26,Bloomington,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,26,Tuckahoe,10,2,0.00%,6.00,00:02:22,0,$0.00
18,mobile,27,Winnipeg,10,2,50.00%,1.50,00:11:51,0,$0.00
18,mobile,27,Los Angeles,10,2,50.00%,5.50,00:02:16,0,$0.00
18,mobile,27,Atlanta,10,2,50.00%,2.00,00:00:41,0,$0.00
18,mobile,27,Minneapolis,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,27,Houston,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,28,Sydney,10,2,50.00%,5.00,00:07:06,0,$0.00
18,mobile,28,Melbourne,10,2,0.00%,8.00,00:03:29,0,$0.00
18,mobile,28,Toronto,10,2,0.00%,17.00,00:08:50,0,$0.00
18,mobile,28,London,10,2,0.00%,3.50,00:04:32,0,$0.00
18,mobile,28,Singapore,10,2,50.00%,1.50,00:00:07,0,$0.00
18,mobile,28,San Francisco,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,28,Indianapolis,10,2,50.00%,6.50,00:06:36,0,$0.00
18,mobile,28,Ann Arbor,10,2,0.00%,6.50,00:02:51,0,$0.00
18,mobile,28,Raleigh,10,2,0.00%,8.00,00:02:00,0,$0.00
18,mobile,28,Columbus,10,2,50.00%,1.50,00:00:14,0,$0.00
18,mobile,28,Oklahoma City,10,2,50.00%,5.50,00:03:05,0,$0.00
18,mobile,28,Portland,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,28,Dillsburg,10,2,0.00%,4.00,00:01:43,0,$0.00
18,mobile,28,Philadelphia,10,2,50.00%,5.00,00:02:54,0,$0.00
18,mobile,28,Sioux Falls,10,2,0.00%,13.50,00:15:02,0,$0.00
18,mobile,28,Nashville,10,2,0.00%,11.00,00:20:44,0,$0.00
18,mobile,28,Portland,10,2,50.00%,1.50,00:03:19,0,$0.00
18,mobile,28,Georgetown,10,2,0.00%,2.00,00:01:54,0,$0.00
18,mobile,28,Houston,10,2,50.00%,1.50,00:00:26,0,$0.00
18,mobile,28,Front Royal,10,2,0.00%,6.00,00:05:12,0,$0.00
18,mobile,28,Seattle,10,2,50.00%,6.00,00:01:41,0,$0.00
18,mobile,29,Montreal,10,2,50.00%,1.50,00:00:12,0,$0.00
18,mobile,29,Sacramento,10,2,0.00%,2.50,00:00:27,0,$0.00
18,mobile,29,San Diego,10,2,0.00%,2.00,00:00:29,0,$0.00
18,mobile,29,San Jose,10,2,0.00%,5.00,00:02:18,0,$0.00
18,mobile,29,Tampa,10,2,50.00%,10.50,00:18:40,0,$0.00
18,mobile,29,Dalton,10,2,50.00%,6.50,00:01:55,0,$0.00
18,mobile,29,Franklin Park,10,2,50.00%,2.00,00:00:11,0,$0.00
18,mobile,29,Ashland,10,2,0.00%,7.50,00:08:45,0,$0.00
18,mobile,29,New Orleans,10,2,50.00%,4.00,00:02:15,0,$0.00
18,mobile,29,Detroit,10,2,50.00%,2.00,00:01:02,0,$0.00
18,mobile,29,Grand Rapids,10,2,50.00%,4.00,00:03:09,0,$0.00
18,mobile,29,Kansas City,10,2,50.00%,2.00,00:00:13,0,$0.00
18,mobile,29,St. Louis,10,2,50.00%,5.00,00:03:30,0,$0.00
18,mobile,29,Grand Island,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,29,Syracuse,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,29,Columbus,10,2,100.00%,5.00,00:00:00,0,$0.00
18,mobile,29,Oklahoma City,10,2,50.00%,2.00,00:00:10,0,$0.00
18,mobile,29,Eugene,10,2,50.00%,2.00,00:00:47,0,$0.00
18,mobile,29,Philadelphia,10,2,50.00%,3.00,00:00:40,0,$0.00
18,mobile,29,Myrtle Beach,10,2,0.00%,26.50,00:15:45,0,$0.00
18,mobile,29,Austin,10,2,0.00%,3.50,00:25:53,0,$0.00
18,mobile,29,Virginia Beach,10,2,0.00%,3.00,00:04:21,0,$0.00
18,mobile,29,Cheektowaga,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,29,North Laurel,10,2,50.00%,3.00,00:01:16,0,$0.00
18,mobile,29,Red Bank,10,2,0.00%,4.50,00:03:54,0,$0.00
18,mobile,30,Melbourne,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,30,Edmonton,10,2,50.00%,2.00,00:00:27,0,$0.00
18,mobile,30,Fredericton,10,2,50.00%,1.50,00:00:15,0,$0.00
18,mobile,30,Ottawa,10,2,50.00%,5.00,00:03:29,0,$0.00
18,mobile,30,Singapore,10,2,50.00%,1.50,00:03:37,0,$0.00
18,mobile,30,Lancaster,10,2,0.00%,6.50,00:04:04,0,$0.00
18,mobile,30,Colorado Springs,10,2,0.00%,3.00,00:04:36,0,$0.00
18,mobile,30,Indianapolis,10,2,50.00%,3.00,00:00:48,0,$0.00
18,mobile,30,Kansas City,10,2,50.00%,3.50,00:03:02,0,$0.00
18,mobile,30,Bozeman,10,2,50.00%,1.50,00:06:07,0,$0.00
18,mobile,30,Fort Worth,10,2,0.00%,35.00,00:02:46,0,$0.00
18,mobile,30,Houston,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,30,McAllen,10,2,0.00%,9.00,00:06:30,0,$0.00
18,mobile,30,San Antonio,10,2,50.00%,4.00,00:01:20,0,$0.00
18,mobile,31,Kitchener,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,31,Vaughan,10,2,50.00%,3.00,00:00:38,0,$0.00
18,mobile,31,London,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,31,Dublin,10,2,50.00%,1.50,00:02:00,0,$0.00
18,mobile,31,Montgomery,10,2,0.00%,7.00,00:04:14,0,$0.00
18,mobile,31,San Jose,10,2,50.00%,8.00,00:07:20,0,$0.00
18,mobile,31,Miami,10,2,0.00%,9.00,00:12:28,0,$0.00
18,mobile,31,Orlando,10,2,50.00%,2.00,00:00:55,0,$0.00
18,mobile,31,Indianapolis,10,2,0.00%,6.00,00:06:59,0,$0.00
18,mobile,31,Louisville,10,2,50.00%,28.00,00:21:10,0,$0.00
18,mobile,31,New Orleans,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,31,St. Louis,10,2,0.00%,5.00,00:01:22,0,$0.00
18,mobile,31,Columbus,10,2,50.00%,2.00,00:00:35,0,$0.00
18,mobile,31,Philadelphia,10,2,100.00%,1.00,00:00:00,0,$0.00
18,mobile,31,Pittsburgh,10,2,0.00%,5.00,00:00:55,0,$0.00
18,tablet,01,Largo,10,2,50.00%,7.00,00:01:36,0,$0.00
18,tablet,01,Omaha,10,2,50.00%,3.50,00:02:33,0,$0.00
18,tablet,02,Arlington,10,2,100.00%,1.00,00:00:00,0,$0.00
18,tablet,03,Sacramento,10,2,50.00%,2.50,00:00:41,0,$0.00
18,tablet,03,Orlando,10,2,100.00%,1.00,00:00:00,0,$0.00
18,tablet,03,Winder,10,2,0.00%,2.00,00:00:40,0,$0.00
18,tablet,03,New York,10,2,0.00%,9.00,00:03:44,0,$0.00
18,tablet,04,(not set),10,2,0.00%,3.00,00:00:40,0,$0.00
18,tablet,05,Topeka,10,2,0.00%,9.50,00:03:06,0,$0.00
18,tablet,05,Georgetown,10,2,0.00%,3.50,00:00:49,0,$0.00
18,tablet,05,Seattle,10,2,100.00%,1.00,00:00:00,0,$0.00
18,tablet,06,Titusville,10,2,50.00%,5.00,00:05:33,0,$0.00
18,tablet,06,Plano,10,2,100.00%,1.00,00:00:00,0,$0.00
18,tablet,07,San Diego,10,2,0.00%,3.50,00:07:28,0,$0.00
18,tablet,07,Houston,10,2,50.00%,15.50,00:19:26,0,$0.00
18,tablet,07,Lancaster,10,2,50.00%,13.50,00:15:12,0,$0.00
18,tablet,09,Cape Coral,10,2,50.00%,2.00,00:00:26,0,$0.00
